ac_no,ac_name,district,region,reservation,is_reserved,winner_party_2021,margin_pct_polled_2021,turnout_pct_2021,total_electors_2021,votes_polled_2021,valid_votes_2021,tmc_pct_2021,bjp_pct_2021,left_inc_pct_2021,other_pct_2021,winner_pct_2021,winner_party_2026,margin_pct_polled_2026,turnout_pct_2026,total_electors_2026,votes_polled_2026,valid_votes_2026,tmc_pct_2026,bjp_pct_2026,left_inc_pct_2026,other_pct_2026,winner_pct_2026,swing_tmc,swing_bjp,tmc_lead_2021,tmc_lead_2026,roll_change_pct,turnout_change,third_party_hold_2021
260,BARDHAMAN DAKSHIN,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,3.95,79.61,257940,205345,201638,45.13782124401155,41.11824160128547,11.57817474880727,2.165762405895714,44.32,BJP,14.88,92.21,222117,204823,202459,38.17266705851555,53.2226277913059,7.506211134106165,1.09849401607239,52.61,-6.965154185495997,12.104386190020428,4.019579642726079,-15.049960732790346,-13.888113514770872,12.599999999999994,0.0
261,RAINA,Purba Bardhaman,Rarh Bengal,SC,1,TMC,7.94,88.57,258742,229166,227603,47.7814440055711,39.78286753689538,11.129906020570907,1.3057824369626059,47.46,BJP,0.36,94.72,246255,233245,231803,44.28458648076168,44.644374749248286,9.341552956605394,1.7294858133846414,44.37,-3.496857524809421,4.861507212352905,7.998576468675722,-0.3597882684866036,-4.826042930795927,6.150000000000006,0.0
262,JAMALPUR,Purba Bardhaman,Rarh Bengal,SC,1,TMC,8.69,87.59,235973,206690,203825,47.5893536121673,38.77247638905924,11.43039372010303,2.207776278670428,46.93,BJP,5.2,95.22,225551,214774,212976,41.67511832319135,46.9235970250169,9.572909623619562,1.8283750281721884,46.53,-5.914235288975952,8.15112063595766,8.816877223108058,-5.2484787018255545,-4.4166069846974025,7.6299999999999955,0.0
263,MONTESWAR,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,15.22,86.3,242229,209036,207425,50.84247318307822,35.50922020007231,11.927202603350608,1.7211040134988551,50.45,BJP,7.25,94.1,216968,204165,202805,40.31508098912749,47.611745272552454,10.288700968911023,1.7844727694090383,47.29,-10.527392193950732,12.102525072480141,15.333252983005906,-7.296664283424967,-10.428561402639646,7.799999999999997,0.0
264,KALNA,Purba Bardhaman,Rarh Bengal,SC,1,TMC,3.58,86.53,241471,208951,206444,46.53707542965647,42.91478560771928,9.205886342058863,1.3422526205653833,45.98,BJP,13.43,94.11,226568,213233,211900,38.77300613496933,52.284096271826336,7.714487966021708,1.2284096271826332,51.96,-7.76406929468714,9.369310664107054,3.622289821937187,-13.511090136857007,-6.171755614545848,7.579999999999998,0.0
265,MEMARI,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,10.55,86.06,254236,218802,217129,48.289726383854756,37.66102178889047,11.798516089513607,2.2507357377411585,47.92,BJP,3.12,94.9,239719,227492,226263,43.89670427776525,47.037297304464275,8.053901875251366,1.012096542519104,46.78,-4.393022106089504,9.376275515573802,10.628704594964283,-3.1405930266990225,-5.71004893091458,8.840000000000003,0.0
266,BARDHAMAN UTTAR,Purba Bardhaman,Rarh Bengal,SC,1,TMC,7.14,87.33,277026,241925,239529,46.42903364519536,39.21988569233788,12.953755077673268,1.3973255847934904,45.97,TMC,2.61,95.17,260510,247932,244161,46.153153042459685,43.507357849943276,8.756107650279938,1.5833814573170981,45.45,-0.2758806027356755,4.287472157605393,7.209147952857478,2.6457951925164096,-5.961895273367846,7.840000000000003,0.0
267,BHATAR,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,14.82,86.82,246694,214168,209822,51.48554489043094,36.35796055704359,9.344587316868584,2.81190723565689,50.44,BJP,3.04,94.65,226841,214694,211442,43.64884932983986,46.736220807597356,6.85105135214385,2.763878510418933,46.03,-7.836695560591075,10.378260250553765,15.127584333387347,-3.087371477757493,-8.047621750022294,7.8300000000000125,0.0
268,PURBASTHALI DAKSHIN,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,8.08,86.65,248533,215353,213791,49.43987352133626,41.29640630335234,7.0447306013817235,2.218989573929679,49.08,BJP,7.57,94.5,232857,220056,218133,43.24976046723788,50.888219572462674,1.3033332874897425,4.558686672809708,50.44,-6.190113054098383,9.591813269110332,8.143467217983918,-7.638459105224797,-6.307411892988057,7.849999999999994,0.0
269,PURBASTHALI UTTAR,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,3.16,84.05,252626,212343,210993,43.80287497689497,40.624570483380964,13.334091652329699,2.2384628873943684,43.52,BJP,13.44,93.73,239934,224880,223692,36.27890134649429,49.79123079949216,12.212774708080754,1.7170931459328005,49.53,-7.523973630400683,9.166660316111198,3.1783044935140055,-13.512329452997875,-5.024027613943138,9.680000000000007,0.0
